"","Pre HW","During","Post-HW"
"pH (Amb)",7.78451936372007,7.77790922207058,7.6422812217935
"pH (HW)",7.77963117249739,7.66608855262681,7.67725975450761
"Total Alkalinity (Amb)",2271.58410144444,2155.47354148148,2526.91645833333
"Total Alkalinity (HW)",2274.98981011111,2160.41792307407,2530.0357572
"Salinity (Amb)",35.2287671232877,36.8783950617284,38.7777777777778
"Salinity (HW)",35.2277777777778,36.8043209876543,38.9
"Temperature (Amb)",17.1127154969181,17.1105144111508,17.1083771918386
"Temp (HW)",17.1436044886797,20.4383811133101,16.8096125324918
