SampleID,TA,Mass,Sample.Index,TA_evap,date,treatment
Tank6,2206.828185,60.1275,4,2203.051525,2020-11-23,hw
Tank7,2180.692822,60.2326,5,2175.719748,2020-11-09,amb
Tank7,2281.136128,59.571,25,2250.275211,2020-11-02,amb
Tank7,2090.732385,59.6237,5,2085.964466,2020-11-16,amb
Tank7,2198.373796,60.0417,5,2193.360401,2020-11-23,amb
Tank7,2521.55272,60.2096,4,2517.237455,2020-12-07,amb
Tank7,2858.154089,60.1296,6,2850.0112,2020-12-16,amb
Tank8,2187.712047,60.2703,6,2181.479249,2020-11-09,hw
Tank8,2277.001186,60.0317,26,2244.930747,2020-11-02,hw
Tank8,2089.616451,60.3108,6,2083.663128,2020-11-16,hw
Tank8,2194.459385,60.1732,6,2188.207364,2020-11-23,hw
Tank8,2524.895487,59.9697,5,2519.137458,2020-12-07,hw
Tank8,2848.861848,59.9099,7,2839.127696,2020-12-16,hw
Tank9,2176.582906,59.7976,7,2169.145835,2020-11-09,amb
Tank9,2276.047448,59.8278,27,2242.726934,2020-11-02,amb
Tank9,2094.369618,59.658,7,2087.213457,2020-11-16,amb
Tank9,2188.10266,60.089,7,2180.626227,2020-11-23,amb
Tank9,2526.864924,60.119,6,2519.665878,2020-12-07,amb
Tank9,2848.557904,59.6314,8,2837.209067,2020-12-16,amb
