time,abalone_ID,size_class,status,treatment,tank_ID
18,65,90,1,hw,6
18,66,90,0,amb,3
18,67,90,1,hw,6
18,68,90,0,amb,3
18,69,90,0,amb,3
18,70,90,0,hw,19
18,71,90,0,hw,19
18,72,90,0,hw,4
18,73,90,0,amb,20
18,74,90,0,amb,3
18,75,90,0,hw,19
18,76,90,0,amb,3
18,77,90,0,hw,6
18,78,90,0,hw,4
18,79,90,0,amb,10
18,80,90,0,hw,4
18,81,90,0,amb,10
18,82,90,0,hw,19
18,83,90,0,amb,20
18,84,90,0,hw,19
18,85,90,0,amb,20
18,86,90,0,hw,6
18,87,90,0,amb,10
18,88,90,0,amb,20
18,89,90,0,hw,4
18,90,90,1,hw,6
19,1,30,0,hw,8
19,2,30,0,hw,15
19,3,30,0,amb,7
19,4,30,1,hw,13
19,5,30,0,amb,14
19,6,30,0,amb,18
19,7,30,0,amb,18
19,8,30,0,hw,15
19,9,30,0,amb,14
19,10,30,1,hw,13
19,11,30,0,hw,8
19,12,30,0,amb,18
19,13,30,1,hw,13
19,14,30,0,amb,14
19,15,30,1,hw,8
19,16,30,1,hw,13
19,17,30,0,hw,15
19,18,30,0,amb,14
19,19,30,0,amb,7
19,20,30,0,hw,8
19,21,30,0,amb,7
19,22,30,0,hw,15
19,23,30,0,hw,8
19,24,30,0,hw,15
19,25,30,0,amb,14
19,26,30,0,amb,7
19,27,30,0,amb,7
19,28,30,1,hw,13
19,29,30,0,amb,18
19,30,30,0,amb,18
19,31,60,0,amb,5
19,32,60,0,hw,17
19,33,60,0,amb,9
19,34,60,0,amb,5
19,35,60,0,amb,11
19,36,60,0,amb,5
19,37,60,0,amb,9
19,38,60,0,hw,17
19,39,60,0,hw,17
19,40,60,0,hw,16
19,41,60,0,hw,16
19,42,60,0,amb,5
19,43,60,0,hw,16
19,44,60,0,hw,12
19,45,60,0,hw,17
19,46,60,0,amb,9
19,47,60,0,amb,11
19,48,60,0,amb,9
19,49,60,0,amb,11
19,50,60,0,amb,9
19,51,60,0,hw,12
19,52,60,0,hw,17
19,53,60,0,hw,12
19,54,60,0,hw,12
19,55,60,0,hw,16
19,56,60,0,amb,11
19,57,60,0,amb,11
19,58,60,0,hw,12
19,59,60,0,amb,5
19,60,60,0,hw,16
19,61,90,0,hw,4
19,62,90,0,amb,20
19,63,90,0,amb,10
19,64,90,0,amb,10
19,65,90,1,hw,6
19,66,90,0,amb,3
19,67,90,1,hw,6
19,68,90,0,amb,3
19,69,90,0,amb,3
19,70,90,0,hw,19
19,71,90,0,hw,19
19,72,90,0,hw,4
19,73,90,0,amb,20
19,74,90,0,amb,3
19,75,90,0,hw,19
19,76,90,0,amb,3
19,77,90,0,hw,6
19,78,90,0,hw,4
19,79,90,0,amb,10
19,80,90,0,hw,4
19,81,90,0,amb,10
19,82,90,0,hw,19
19,83,90,0,amb,20
19,84,90,0,hw,19
19,85,90,0,amb,20
19,86,90,0,hw,6
19,87,90,0,amb,10
19,88,90,0,amb,20
19,89,90,0,hw,4
19,90,90,1,hw,6
20,1,30,0,hw,8
20,2,30,0,hw,15
20,3,30,0,amb,7
20,4,30,1,hw,13
20,5,30,0,amb,14
20,6,30,0,amb,18
20,7,30,0,amb,18
20,8,30,0,hw,15
20,9,30,0,amb,14
20,10,30,1,hw,13
20,11,30,0,hw,8
20,12,30,0,amb,18
20,13,30,1,hw,13
20,14,30,0,amb,14
20,15,30,1,hw,8
20,16,30,1,hw,13
20,17,30,0,hw,15
20,18,30,0,amb,14
20,19,30,0,amb,7
20,20,30,0,hw,8
20,21,30,0,amb,7
20,22,30,0,hw,15
20,23,30,0,hw,8
20,24,30,0,hw,15
20,25,30,0,amb,14
20,26,30,0,amb,7
20,27,30,0,amb,7
20,28,30,1,hw,13
20,29,30,0,amb,18
20,30,30,0,amb,18
20,31,60,0,amb,5
20,32,60,0,hw,17
20,33,60,0,amb,9
20,34,60,0,amb,5
20,35,60,0,amb,11
20,36,60,0,amb,5
20,37,60,0,amb,9
20,38,60,0,hw,17
20,39,60,0,hw,17
20,40,60,0,hw,16
20,41,60,0,hw,16
20,42,60,0,amb,5
20,43,60,0,hw,16
20,44,60,0,hw,12
20,45,60,0,hw,17
20,46,60,0,amb,9
20,47,60,0,amb,11
20,48,60,0,amb,9
20,49,60,0,amb,11
20,50,60,0,amb,9
20,51,60,0,hw,12
20,52,60,0,hw,17
20,53,60,0,hw,12
20,54,60,0,hw,12
20,55,60,0,hw,16
20,56,60,0,amb,11
20,57,60,0,amb,11
20,58,60,0,hw,12
20,59,60,0,amb,5
20,60,60,0,hw,16
20,61,90,0,hw,4
20,62,90,0,amb,20
20,63,90,0,amb,10
20,64,90,0,amb,10
20,65,90,1,hw,6
20,66,90,0,amb,3
20,67,90,1,hw,6
20,68,90,0,amb,3
20,69,90,0,amb,3
20,70,90,0,hw,19
20,71,90,0,hw,19
20,72,90,0,hw,4
20,73,90,0,amb,20
20,74,90,0,amb,3
20,75,90,0,hw,19
20,76,90,0,amb,3
20,77,90,0,hw,6
20,78,90,0,hw,4
20,79,90,0,amb,10
20,80,90,0,hw,4
20,81,90,0,amb,10
20,82,90,0,hw,19
20,83,90,0,amb,20
20,84,90,0,hw,19
20,85,90,0,amb,20
20,86,90,0,hw,6
20,87,90,0,amb,10
20,88,90,0,amb,20
20,89,90,0,hw,4
20,90,90,1,hw,6
21,1,30,0,hw,8
21,2,30,0,hw,15
21,3,30,0,amb,7
21,4,30,1,hw,13
21,5,30,0,amb,14
21,6,30,0,amb,18
21,7,30,0,amb,18
21,8,30,0,hw,15
21,9,30,0,amb,14
21,10,30,1,hw,13
21,11,30,0,hw,8
21,12,30,0,amb,18
21,13,30,1,hw,13
21,14,30,0,amb,14
21,15,30,1,hw,8
21,16,30,1,hw,13
21,17,30,0,hw,15
21,18,30,0,amb,14
21,19,30,0,amb,7
21,20,30,0,hw,8
21,21,30,0,amb,7
21,22,30,0,hw,15
21,23,30,0,hw,8
21,24,30,0,hw,15
21,25,30,0,amb,14
21,26,30,0,amb,7
21,27,30,0,amb,7
21,28,30,1,hw,13
21,29,30,0,amb,18
21,30,30,0,amb,18
21,31,60,0,amb,5
21,32,60,0,hw,17
21,33,60,0,amb,9
21,34,60,0,amb,5
21,35,60,0,amb,11
21,36,60,0,amb,5
21,37,60,0,amb,9
21,38,60,1,hw,17
21,39,60,0,hw,17
21,40,60,0,hw,16
21,41,60,0,hw,16
21,42,60,0,amb,5
21,43,60,0,hw,16
21,44,60,1,hw,12
21,45,60,1,hw,17
21,46,60,0,amb,9
21,47,60,0,amb,11
21,48,60,0,amb,9
21,49,60,0,amb,11
21,50,60,0,amb,9
21,51,60,1,hw,12
21,52,60,0,hw,17
21,53,60,1,hw,12
21,54,60,1,hw,12
21,55,60,0,hw,16
21,56,60,0,amb,11
21,57,60,0,amb,11
21,58,60,1,hw,12
21,59,60,0,amb,5
21,60,60,0,hw,16
21,61,90,1,hw,4
21,62,90,0,amb,20
21,63,90,0,amb,10
21,64,90,0,amb,10
21,65,90,1,hw,6
21,66,90,0,amb,3
21,67,90,1,hw,6
21,68,90,0,amb,3
21,69,90,0,amb,3
21,70,90,0,hw,19
21,71,90,0,hw,19
21,72,90,1,hw,4
21,73,90,0,amb,20
21,74,90,0,amb,3
21,75,90,0,hw,19
21,76,90,0,amb,3
21,77,90,1,hw,6
21,78,90,1,hw,4
21,79,90,0,amb,10
21,80,90,1,hw,4
21,81,90,0,amb,10
21,82,90,0,hw,19
21,83,90,0,amb,20
21,84,90,0,hw,19
21,85,90,0,amb,20
21,86,90,1,hw,6
21,87,90,0,amb,10
21,88,90,0,amb,20
21,89,90,1,hw,4
21,90,90,1,hw,6
22,1,30,0,hw,8
22,2,30,0,hw,15
22,3,30,0,amb,7
22,4,30,1,hw,13
22,5,30,0,amb,14
22,6,30,0,amb,18
22,7,30,0,amb,18
22,8,30,0,hw,15
22,9,30,0,amb,14
22,10,30,1,hw,13
22,11,30,0,hw,8
22,12,30,0,amb,18
22,13,30,1,hw,13
22,14,30,0,amb,14
22,15,30,1,hw,8
22,16,30,1,hw,13
22,17,30,0,hw,15
22,18,30,0,amb,14
22,19,30,0,amb,7
22,20,30,0,hw,8
22,21,30,0,amb,7
22,22,30,0,hw,15
22,23,30,0,hw,8
22,24,30,0,hw,15
22,25,30,0,amb,14
22,26,30,0,amb,7
22,27,30,0,amb,7
22,28,30,1,hw,13
22,29,30,0,amb,18
22,30,30,0,amb,18
22,31,60,0,amb,5
22,32,60,1,hw,17
22,33,60,0,amb,9
22,34,60,0,amb,5
22,35,60,0,amb,11
22,36,60,0,amb,5
22,37,60,0,amb,9
22,38,60,1,hw,17
22,39,60,0,hw,17
22,40,60,0,hw,16
22,41,60,0,hw,16
22,42,60,0,amb,5
22,43,60,0,hw,16
22,44,60,1,hw,12
22,45,60,1,hw,17
22,46,60,0,amb,9
22,47,60,0,amb,11
22,48,60,0,amb,9
22,49,60,0,amb,11
22,50,60,0,amb,9
22,51,60,1,hw,12
22,52,60,0,hw,17
22,53,60,1,hw,12
22,54,60,1,hw,12
22,55,60,0,hw,16
22,56,60,0,amb,11
22,57,60,0,amb,11
22,58,60,1,hw,12
22,59,60,0,amb,5
22,60,60,0,hw,16
22,61,90,1,hw,4
22,62,90,0,amb,20
22,63,90,0,amb,10
22,64,90,0,amb,10
22,65,90,1,hw,6
22,66,90,0,amb,3
22,67,90,1,hw,6
22,68,90,0,amb,3
22,69,90,0,amb,3
22,70,90,0,hw,19
22,71,90,0,hw,19
22,72,90,1,hw,4
22,73,90,0,amb,20
22,74,90,0,amb,3
22,75,90,0,hw,19
22,76,90,0,amb,3
22,77,90,1,hw,6
22,78,90,1,hw,4
22,79,90,0,amb,10
22,80,90,1,hw,4
22,81,90,0,amb,10
22,82,90,0,hw,19
22,83,90,0,amb,20
22,84,90,0,hw,19
22,85,90,0,amb,20
22,86,90,1,hw,6
22,87,90,0,amb,10
22,88,90,0,amb,20
22,89,90,1,hw,4
22,90,90,1,hw,6
23,1,30,0,hw,8
23,2,30,0,hw,15
23,3,30,0,amb,7
23,4,30,1,hw,13
23,5,30,0,amb,14
23,6,30,0,amb,18
23,7,30,0,amb,18
23,8,30,0,hw,15
23,9,30,0,amb,14
23,10,30,1,hw,13
23,11,30,1,hw,8
23,12,30,0,amb,18
23,13,30,1,hw,13
23,14,30,0,amb,14
23,15,30,1,hw,8
23,16,30,1,hw,13
23,17,30,0,hw,15
23,18,30,0,amb,14
23,19,30,0,amb,7
23,20,30,0,hw,8
23,21,30,0,amb,7
23,22,30,0,hw,15
23,23,30,0,hw,8
23,24,30,0,hw,15
23,25,30,0,amb,14
23,26,30,0,amb,7
23,27,30,0,amb,7
23,28,30,1,hw,13
23,29,30,0,amb,18
23,30,30,0,amb,18
23,31,60,0,amb,5
23,32,60,1,hw,17
23,33,60,0,amb,9
